192725,943,1524,2980,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
192765,1206,1837,3258,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
192805,1327,2643,3206,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
192842,1321,2532,3111,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
192880,1400,2353,3106,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
192918,1446,2252,3082,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
192955,1362,2250,3069,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
192993,1338,2355,2975,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193031,1320,2509,2989,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193068,1336,2561,2939,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193106,1613,2617,2855,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193144,1656,2533,2832,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193182,1663,2672,3027,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193226,1574,2416,2878,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193271,1543,2575,3146,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193316,1231,2172,3050,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193361,1216,2032,3222,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193406,1249,2063,3073,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193451,1146,1856,3247,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193496,1329,1757,3267,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193541,1344,1741,3217,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193586,1533,1719,3062,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193631,1811,1791,3029,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193661,2094,1889,3073,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193692,2361,1957,2429,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193723,3006,3211,2142,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193754,3034,3475,3622,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193785,2787,627,2890,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193816,3691,2088,2841,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193847,3882,1978,2210,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193878,4266,2149,1723,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193909,4401,1324,1256,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193940,4187,1081,1917,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
193971,3346,1002,1225,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194016,3424,1077,1087,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194061,3237,1159,1053,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194106,3390,1371,953,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194151,3567,1248,994,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194197,3672,956,842,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194242,3744,908,764,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194287,3716,744,579,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194332,3659,699,553,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194377,3649,804,477,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194423,3825,655,566,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194455,4129,753,514,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194487,3860,1095,633,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194519,3794,1316,729,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194551,3872,960,977,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194583,3834,1059,1345,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194615,3786,1038,1396,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194647,3892,1361,1367,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194679,3848,1311,1336,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194711,3730,1377,1391,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194743,3568,1521,1498,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194775,3395,1611,1587,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194814,3463,1981,1946,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194854,3243,1837,2256,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194894,1916,1284,4061,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194934,2365,829,4851,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
194974,3891,3908,3720,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195013,3681,4651,2768,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195053,3145,3338,3248,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195093,2548,1891,1685,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195133,2812,900,1029,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195173,3526,2299,1401,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195214,3127,-86,4019,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195256,1810,2950,2145,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195298,1584,1808,3159,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195339,2203,2119,2183,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195381,2465,1647,1706,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195423,3188,2394,1934,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195464,3455,1805,2142,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195506,3416,1698,1834,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195548,3373,1324,1556,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195590,4008,1736,1479,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195625,4090,1431,1452,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195660,4292,1337,1261,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195695,4599,1630,1021,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195731,4248,1585,851,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195766,3883,1868,551,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195801,3791,1607,476,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195836,4008,1608,512,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195872,3713,1134,747,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195907,3440,525,561,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195942,3297,861,639,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
195978,3136,1103,270,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196017,3052,706,342,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196057,3282,978,416,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196097,3364,1230,678,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196136,3380,1523,960,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196176,3477,2146,1459,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196216,3554,2324,1365,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196255,3814,2438,1536,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196295,4080,2864,2042,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196335,3936,3871,2235,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196375,3771,4058,2136,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196415,3231,4524,2418,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196455,2986,4557,2455,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196496,2483,4232,2578,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196536,2153,3774,2785,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196577,1529,3432,2472,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196617,690,3019,2393,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196657,8,2326,2103,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196698,-660,1967,1548,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196738,-1577,1352,1166,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196779,-1974,635,1209,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196819,-2522,108,846,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196859,-2757,-878,678,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196900,-3203,-970,705,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196940,-3284,-1138,749,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
196980,-3369,-1085,704,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197021,-3473,-1010,983,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197061,-3611,-1018,930,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197101,-3653,-942,1118,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197142,-3839,-878,1128,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197182,-3854,-795,1122,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197223,-3862,-807,1136,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197259,-3799,-800,1112,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197296,-3706,-927,974,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197332,-3553,-1024,866,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197369,-3208,-1221,401,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197405,-2913,-1362,-76,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197442,-2650,-724,564,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197478,-2645,-265,1230,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197515,-2753,278,1881,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197551,-3014,1133,2484,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197588,-3188,1787,2190,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197623,-2442,1965,2158,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197658,-1377,2535,3159,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197694,-1230,2963,3298,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197729,-293,3325,3568,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197765,316,3646,3764,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197800,486,3341,3836,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197836,406,3221,3934,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197871,306,4042,3630,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197907,1287,3808,2168,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197942,-480,4393,1403,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
197978,580,3655,2458,76,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198017,276,3896,2463,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198056,97,3895,1756,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198095,216,4028,1610,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198134,179,3675,1668,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198174,274,4027,1559,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198213,230,3695,1392,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198252,275,3621,1377,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198291,181,3691,1483,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198330,-37,3908,1302,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198370,301,3808,1090,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198409,376,3991,930,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198449,-125,4218,974,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198489,-184,4143,1048,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198529,26,4124,854,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198569,75,4006,793,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198609,-4,3954,768,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198649,-171,4052,707,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198689,-49,4183,592,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198729,-20,4369,590,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198769,12,4076,633,77,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198810,-52,3869,687,78,f00b33ad-d223-4aab-8565-3f3fc26a2467,,transisi,transisi_sujud_ke_bersedekap,,
198851,-84,3959,665,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
198893,-117,4013,631,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
198934,-79,4044,488,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
198975,33,4137,469,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199017,63,4113,459,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199058,51,4102,448,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199099,-17,4114,494,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199141,-83,4134,451,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199182,-71,4161,366,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199224,-88,4155,384,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199259,-81,4118,368,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199294,-40,4082,367,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199329,-55,4032,370,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199364,-72,4087,364,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199399,-90,4103,381,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199434,-121,4133,370,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199469,-148,4082,352,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199504,-166,4043,368,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199539,-124,4084,344,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199575,-92,4086,319,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199615,-51,4091,298,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199655,-66,4110,411,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199695,-62,4110,360,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199735,-63,4100,336,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199776,-65,4108,356,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199816,-65,4079,359,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199856,-99,4109,379,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199896,-70,4105,336,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199936,-84,4097,331,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
199977,-81,4090,343,78,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200012,-74,4106,340,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200048,-86,4082,356,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200084,-94,4112,352,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200119,-82,4070,360,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200155,-100,4090,393,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200191,-87,4058,350,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200227,-104,4058,400,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200262,-131,4094,395,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200298,-110,4102,395,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200334,-103,4082,375,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200370,-80,4080,390,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200410,-111,4070,389,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200451,-108,4099,427,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200491,-143,4085,417,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200532,-138,4043,419,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200573,-115,4085,412,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200613,-117,4084,394,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200654,-124,4068,433,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200694,-133,4086,455,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200735,-141,4097,400,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200776,-126,4062,379,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200815,-139,4055,425,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200855,-154,4108,424,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200894,-150,4107,405,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200934,-119,4084,377,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
200974,-116,4077,347,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
201013,-138,4105,375,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
201053,-151,4109,388,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
201093,-145,4108,391,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
201132,-145,4116,365,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
201172,-127,4045,332,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
201212,-122,4065,386,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
201251,-164,4077,356,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
201290,-148,4080,341,77,723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea,,berdiri,bersedekap,,
